iter	Passed	Remaining
0	141	28121
1	146	14476
2	150	9901
3	155	7624
4	160	6252
5	164	5331
6	169	4676
7	174	4179
8	178	3795
9	183	3485
10	187	3230
11	192	3014
12	196	2824
13	199	2657
14	203	2514
15	208	2392
16	212	2283
17	216	2190
18	221	2108
19	226	2036
20	230	1967
21	235	1901
22	239	1845
23	244	1793
24	249	1748
25	255	1707
26	260	1666
27	265	1630
28	270	1593
29	274	1557
30	279	1524
31	284	1492
32	288	1462
33	293	1434
34	298	1407
35	303	1381
36	308	1360
37	314	1340
38	319	1320
39	325	1301
40	331	1284
41	337	1268
42	343	1254
43	349	1237
44	354	1221
45	359	1201
46	364	1188
47	370	1173
48	375	1158
49	381	1143
50	386	1129
51	392	1116
52	398	1104
53	403	1091
54	409	1078
55	414	1066
56	420	1055
57	426	1044
58	431	1031
59	437	1020
60	443	1009
61	448	999
62	453	986
63	459	976
64	465	967
65	470	956
66	475	944
67	480	933
68	486	923
69	492	914
70	497	903
71	502	893
72	507	883
73	511	871
74	515	859
75	520	849
76	525	838
77	529	827
78	533	816
79	537	806
80	542	796
81	546	786
82	551	777
83	555	767
84	559	757
85	563	747
86	568	738
87	572	728
88	576	719
89	581	710
90	585	701
91	589	692
92	593	683
93	598	674
94	602	665
95	606	656
96	610	648
97	615	640
98	619	632
99	623	623
100	628	615
101	632	607
102	636	599
103	640	591
104	645	583
105	649	575
106	653	567
107	657	560
108	662	552
109	666	545
110	670	537
111	674	529
112	678	522
113	682	515
114	688	508
115	692	501
116	696	493
117	700	487
118	704	479
119	708	472
120	713	465
121	718	459
122	722	452
123	726	445
124	731	438
125	736	432
126	740	425
127	745	419
128	749	412
129	753	405
130	758	399
131	763	393
132	767	386
133	771	380
134	776	373
135	780	367
136	784	360
137	789	354
138	793	348
139	797	341
140	801	335
141	806	329
142	810	323
143	814	316
144	819	310
145	823	304
146	827	298
147	831	292
148	835	286
149	840	280
150	844	273
151	848	267
152	853	262
153	857	256
154	861	250
155	866	244
156	870	238
157	874	232
158	879	226
159	884	221
160	888	215
161	893	209
162	897	203
163	901	197
164	906	192
165	911	186
166	915	180
167	920	175
168	923	169
169	928	163
170	932	158
171	936	152
172	941	146
173	945	141
174	949	135
175	954	130
176	958	124
177	962	118
178	966	113
179	970	107
180	975	102
181	979	96
182	983	91
183	987	85
184	992	80
185	996	75
186	1000	69
187	1005	64
188	1009	58
189	1013	53
190	1017	47
191	1021	42
192	1026	37
193	1030	31
194	1034	26
195	1038	21
196	1043	15
197	1047	10
198	1051	5
199	1055	0
