iter	Passed	Remaining
0	157	157771
1	162	81169
2	166	55333
3	170	42529
4	175	34843
5	179	29660
6	182	25926
7	188	23333
8	192	21189
9	196	19469
10	201	18132
11	205	16957
12	209	15930
13	213	15057
14	218	14355
15	222	13705
16	226	13118
17	230	12592
18	236	12194
19	240	11766
20	243	11374
21	249	11073
22	253	10751
23	257	10453
24	260	10177
25	265	9960
26	269	9724
27	273	9509
28	278	9315
29	282	9145
30	287	8975
31	291	8813
32	295	8668
33	299	8521
34	303	8377
35	307	8244
36	313	8157
37	317	8031
38	321	7912
39	325	7812
40	329	7713
41	333	7608
42	337	7511
43	341	7428
44	346	7346
45	350	7263
46	353	7177
47	358	7117
48	362	7043
49	366	6971
50	370	6899
51	375	6845
52	380	6792
53	384	6737
54	389	6693
55	393	6637
56	397	6580
57	401	6527
58	407	6497
59	411	6453
60	416	6407
61	421	6376
62	426	6341
63	430	6294
64	434	6252
65	439	6214
66	443	6178
67	447	6137
68	452	6107
69	457	6077
70	461	6043
71	466	6014
72	471	5987
73	476	5958
74	480	5928
75	486	5911
76	490	5884
77	496	5871
78	502	5860
79	507	5831
80	511	5805
81	517	5795
82	522	5769
83	527	5754
84	532	5732
85	536	5704
86	541	5682
87	545	5655
88	550	5635
89	554	5609
90	558	5582
91	563	5563
92	569	5552
93	574	5536
94	579	5523
95	584	5506
96	588	5483
97	592	5456
98	597	5441
99	601	5416
100	605	5390
101	609	5368
102	614	5349
103	618	5325
104	621	5300
105	626	5281
106	630	5263
107	634	5242
108	638	5220
109	643	5208
110	647	5187
111	651	5165
112	654	5134
113	660	5130
114	664	5111
115	668	5092
116	672	5076
117	677	5062
118	681	5044
119	685	5023
120	689	5009
121	693	4993
122	697	4974
123	701	4956
124	706	4942
125	709	4924
126	713	4906
127	717	4889
128	722	4876
129	726	4858
130	729	4841
131	733	4825
132	738	4814
133	742	4799
134	746	4784
135	750	4768
136	755	4756
137	759	4741
138	763	4726
139	766	4711
140	771	4698
141	775	4682
142	778	4667
143	782	4653
144	787	4641
145	791	4627
146	795	4613
147	799	4601
148	803	4588
149	807	4574
150	811	4560
151	815	4549
152	819	4538
153	823	4524
154	827	4510
155	831	4500
156	836	4489
157	840	4477
158	844	4464
159	848	4455
160	852	4443
161	856	4430
162	860	4418
163	865	4410
164	869	4397
165	872	4385
166	876	4372
167	881	4363
168	885	4351
169	888	4339
170	893	4329
171	897	4321
172	901	4309
173	905	4297
174	910	4291
175	915	4283
176	919	4277
177	924	4268
178	929	4262
179	933	4253
180	939	4249
181	944	4246
182	948	4236
183	954	4231
184	959	4227
185	964	4220
186	968	4210
187	972	4200
188	977	4193
189	981	4183
190	985	4173
191	989	4162
192	993	4155
193	997	4144
194	1001	4134
195	1005	4125
196	1010	4117
197	1013	4106
198	1017	4097
199	1020	4081
200	1025	4074
201	1029	4067
202	1033	4058
203	1039	4054
204	1044	4050
205	1048	4041
206	1053	4034
207	1058	4029
208	1062	4020
209	1066	4012
210	1071	4005
211	1075	3996
212	1079	3988
213	1083	3980
214	1089	3979
215	1094	3971
216	1098	3962
217	1103	3959
218	1107	3949
219	1111	3941
220	1117	3939
221	1122	3932
222	1126	3926
223	1131	3920
224	1136	3915
225	1141	3908
226	1146	3902
227	1150	3895
228	1154	3887
229	1159	3883
230	1164	3875
231	1168	3869
232	1173	3864
233	1178	3857
234	1182	3850
235	1187	3843
236	1192	3837
237	1197	3832
238	1201	3825
239	1206	3822
240	1211	3814
241	1215	3807
242	1220	3802
243	1224	3795
244	1228	3786
245	1232	3778
246	1237	3773
247	1241	3765
248	1245	3756
249	1249	3748
250	1254	3742
251	1258	3734
252	1261	3726
253	1265	3717
254	1270	3712
255	1273	3700
256	1277	3692
257	1281	3684
258	1285	3678
259	1289	3670
260	1293	3662
261	1297	3654
262	1302	3648
263	1305	3640
264	1309	3632
265	1313	3625
266	1318	3618
267	1321	3610
268	1325	3602
269	1329	3595
270	1334	3589
271	1336	3577
272	1340	3570
273	1344	3563
274	1349	3557
275	1353	3550
276	1357	3543
277	1362	3538
278	1367	3534
279	1372	3529
280	1376	3523
281	1381	3518
282	1386	3513
283	1391	3509
284	1397	3505
285	1401	3500
286	1406	3493
287	1410	3486
288	1414	3479
289	1418	3472
290	1422	3465
291	1426	3459
292	1430	3452
293	1434	3445
294	1438	3438
295	1443	3432
296	1447	3426
297	1451	3419
298	1455	3412
299	1459	3406
300	1463	3399
301	1467	3392
302	1472	3387
303	1476	3380
304	1480	3373
305	1484	3366
306	1488	3359
307	1492	3353
308	1496	3346
309	1500	3339
310	1504	3333
311	1508	3327
312	1512	3320
313	1516	3312
314	1520	3306
315	1524	3299
316	1528	3293
317	1532	3286
318	1536	3280
319	1541	3274
320	1545	3268
321	1548	3261
322	1554	3257
323	1558	3251
324	1562	3244
325	1566	3237
326	1570	3233
327	1574	3226
328	1578	3220
329	1583	3214
330	1588	3209
331	1591	3203
332	1595	3196
333	1600	3191
334	1604	3185
335	1608	3178
336	1612	3172
337	1617	3168
338	1621	3162
339	1626	3156
340	1630	3150
341	1634	3145
342	1638	3139
343	1642	3132
344	1647	3127
345	1651	3121
346	1655	3114
347	1659	3108
348	1663	3103
349	1667	3097
350	1671	3091
351	1675	3084
352	1680	3080
353	1684	3074
354	1689	3068
355	1693	3063
356	1698	3059
357	1702	3053
358	1706	3046
359	1710	3040
360	1714	3035
361	1718	3029
362	1722	3023
363	1726	3017
364	1731	3012
365	1735	3005
366	1739	2999
367	1743	2995
368	1747	2988
369	1751	2982
370	1755	2976
371	1760	2971
372	1764	2965
373	1768	2959
374	1772	2953
375	1776	2949
376	1780	2943
377	1784	2937
378	1788	2931
379	1793	2926
380	1798	2921
381	1802	2915
382	1808	2913
383	1812	2908
384	1817	2903
385	1824	2901
386	1828	2896
387	1834	2893
388	1841	2892
389	1846	2887
390	1852	2885
391	1857	2881
392	1861	2875
393	1866	2871
394	1871	2866
395	1875	2860
396	1880	2855
397	1884	2850
398	1888	2844
399	1892	2839
400	1896	2833
401	1901	2828
402	1905	2822
403	1909	2817
404	1913	2811
405	1918	2807
406	1922	2801
407	1927	2796
408	1931	2790
409	1936	2786
410	1940	2780
411	1944	2774
412	1948	2769
413	1953	2764
414	1955	2756
415	1959	2751
416	1964	2746
417	1968	2741
418	1972	2735
419	1976	2729
420	1980	2724
421	1985	2719
422	1989	2713
423	1993	2707
424	1998	2704
425	2002	2698
426	2006	2692
427	2010	2686
428	2015	2682
429	2019	2676
430	2023	2670
431	2027	2665
432	2031	2660
433	2035	2654
434	2039	2648
435	2044	2644
436	2048	2639
437	2052	2633
438	2057	2628
439	2062	2624
440	2066	2619
441	2070	2614
442	2075	2609
443	2079	2603
444	2083	2598
445	2087	2592
446	2092	2588
447	2096	2583
448	2100	2577
449	2105	2573
450	2110	2569
451	2114	2564
452	2119	2558
453	2124	2555
454	2128	2549
455	2132	2544
456	2137	2539
457	2141	2534
458	2145	2529
459	2149	2523
460	2154	2518
461	2158	2513
462	2162	2508
463	2166	2502
464	2170	2497
465	2174	2492
466	2178	2486
467	2182	2480
468	2187	2476
469	2191	2471
470	2194	2465
471	2198	2459
472	2204	2455
473	2207	2450
474	2211	2444
475	2215	2439
476	2220	2434
477	2223	2428
478	2227	2422
479	2231	2417
480	2236	2413
481	2240	2407
482	2244	2402
483	2249	2397
484	2253	2392
485	2258	2388
486	2263	2383
487	2268	2379
488	2272	2374
489	2277	2369
